111theta,111intensity,200theta,200intensity,220theta,220intensity,311theta,311intensity,222theta,222intensity,400theta,400intensity
,,,,33.756,154.2,,,,,,
,,,,33.758,187.5,,,,,,
,,,,33.76,183.3,,,,,,
,,,,33.762,183.3,,,,,,
,,,,33.764,200,,,,,,
,,,,33.766,200,,,,,,
,,,,33.768,145.8,,,,,,
,,,,33.77,216.7,,,,,,
,,,,33.772,158.3,,,,,,
,,,,33.774,158.3,,,,,,
,,,,33.776,150,,,,,,
,,,,33.778,145.8,,,,,,
,,,,33.78,191.7,,,,,,
,,,,33.782,183.3,,,,,,
,,,,33.784,162.5,,,,,,
,,,,33.786,129.2,,,,,,
,,,,33.788,170.8,,,,,,
,,,,33.79,216.7,,,,,,
,,,,33.792,150,,,,,,
,,,,33.794,120.8,,,,,,
,,,,33.796,145.8,,,,,,
,,,,33.798,158.3,,,,,,
,,,,33.8,137.5,,,,,,
,,,,33.802,187.5,,,,,,
,,,,33.804,162.5,,,,,,
,,,,33.806,158.3,,,,,,
,,,,33.808,204.2,,,,,,
,,,,33.81,229.2,,,,,,
,,,,33.812,170.8,,,,,,
,,,,33.814,175,,,,,,
,,,,33.816,175,,,,,,
,,,,33.818,145.8,,,,,,
,,,,33.82,91.7,,,,,,
,,,,33.822,175,,,,,,
,,,,33.824,200,,,,,,
,,,,33.826,120.8,,,,,,
,,,,33.828,133.3,,,,,,
,,,,33.83,154.2,,,,,,
,,,,33.832,133.3,,,,,,
,,,,33.834,137.5,,,,,,
,,,,33.836,162.5,,,,,,
,,,,33.838,145.8,,,,,,
,,,,33.84,195.8,,,,,,
,,,,33.842,208.3,,,,,,
,,,,33.844,183.3,,,,,,
,,,,33.846,175,,,,,,
,,,,33.848,191.7,,,,,,
,,,,33.85,187.5,,,,,,
,,,,33.852,179.2,,,,,,
,,,,33.854,170.8,,,,,,
,,,,33.856,116.7,,,,,,
,,,,33.858,158.3,,,,,,
,,,,33.86,195.8,,,,,,
,,,,33.862,229.2,,,,,,
,,,,33.864,129.2,,,,,,
,,,,33.866,150,,,,,,
,,,,33.868,104.2,,,,,,
,,,,33.87,145.8,,,,,,
,,,,33.872,145.8,,,,,,
,,,,33.874,137.5,,,,,,
,,,,33.876,162.5,,,,,,
,,,,33.878,166.7,,,,,,
,,,,33.88,158.3,,,,,,
,,,,33.882,158.3,,,,,,
,,,,33.884,129.2,,,,,,
,,,,33.886,145.8,,,,,,
,,,,33.888,179.2,,,,,,
,,,,33.89,145.8,,,,,,
,,,,33.892,120.8,,,,,,
,,,,33.894,200,,,,,,
,,,,33.896,158.3,,,,,,
,,,,33.898,166.7,,,,,,
,,,,33.9,200,,,,,,
,,,,33.902,141.7,,,,,,
,,,,33.904,208.3,,,,,,
,,,,33.906,150,,,,,,
,,,,33.908,175,,,,,,
,,,,33.91,158.3,,,,,,
,,,,33.912,154.2,,,,,,
,,,,33.914,191.7,,,,,,
,,,,33.916,170.8,,,,,,
,,,,33.918,150,,,,,,
,,,,33.92,179.2,,,,,,
,,,,33.922,220.8,,,,,,
,,,,33.924,129.2,,,,,,
