110theta,110intensity,200theta,200intensity,211theta,211intensity,220theta,220intensity,310theta,310intensity,222theta,222intensity
19.526,879.166667,28.026,295.833333,34.526,354.166667,40.526,195.833333,45.526,112.5,50.026,133.333333
19.528,679.166667,28.028,191.666667,34.528,316.666667,40.528,154.166667,45.528,83.333333,50.028,137.5
19.53,575,28.03,308.333333,34.53,270.833333,40.53,158.333333,45.53,116.666667,50.03,58.333333
19.532,616.666667,28.032,216.666667,34.532,316.666667,40.532,133.333333,45.532,104.166667,50.032,112.5
19.534,725,28.034,254.166667,34.534,316.666667,40.534,145.833333,45.534,125,50.034,83.333333
19.536,675,28.036,208.333333,34.536,325,40.536,175,45.536,91.666667,50.036,137.5
19.538,570.833333,28.038,262.5,34.538,375,40.538,162.5,45.538,75,50.038,100
19.54,616.666667,28.04,329.166667,34.54,337.5,40.54,120.833333,45.54,62.5,50.04,141.666667
19.542,779.166667,28.042,237.5,34.542,333.333333,40.542,200,45.542,91.666667,50.042,125
19.544,741.666667,28.044,200,34.544,391.666667,40.544,162.5,45.544,75,50.044,116.666667
19.546,675,28.046,204.166667,34.546,283.333333,40.546,129.166667,45.546,91.666667,50.046,87.5
19.548,675,28.048,308.333333,34.548,345.833333,40.548,166.666667,45.548,50,50.048,87.5
19.55,762.5,28.05,279.166667,34.55,308.333333,40.55,187.5,45.55,95.833333,50.05,91.666667
19.552,850,28.052,266.666667,34.552,320.833333,40.552,200,45.552,95.833333,50.052,112.5
19.554,704.166667,28.054,237.5,34.554,241.666667,40.554,162.5,45.554,66.666667,50.054,87.5
19.556,608.333333,28.056,262.5,34.556,275,40.556,170.833333,45.556,87.5,50.056,125
19.558,741.666667,28.058,262.5,34.558,345.833333,40.558,158.333333,45.558,54.166667,50.058,120.833333
19.56,833.333333,28.06,287.5,34.56,279.166667,40.56,166.666667,45.56,95.833333,50.06,100
19.562,637.5,28.062,237.5,34.562,345.833333,40.562,179.166667,45.562,95.833333,50.062,129.166667
19.564,712.5,28.064,254.166667,34.564,345.833333,40.564,216.666667,45.564,54.166667,50.064,120.833333
19.566,675,28.066,191.666667,34.566,379.166667,40.566,158.333333,45.566,91.666667,50.066,87.5
19.568,787.5,28.068,270.833333,34.568,295.833333,40.568,150,45.568,104.166667,50.068,75
19.57,654.166667,28.07,233.333333,34.57,325,40.57,208.333333,45.57,100,50.07,87.5
19.572,570.833333,28.072,216.666667,34.572,270.833333,40.572,100,45.572,70.833333,50.072,125
19.574,691.666667,28.074,175,34.574,366.666667,40.574,154.166667,45.574,83.333333,50.074,129.166667
19.576,891.666667,28.076,237.5,34.576,345.833333,40.576,145.833333,45.576,125,50.076,95.833333
19.578,691.666667,28.078,275,34.578,300,40.578,137.5,45.578,104.166667,50.078,129.166667
19.58,625,28.08,254.166667,34.58,333.333333,40.58,158.333333,45.58,112.5,50.08,120.833333
19.582,708.333333,28.082,283.333333,34.582,287.5,40.582,133.333333,45.582,91.666667,50.082,91.666667
19.584,754.166667,28.084,237.5,34.584,341.666667,40.584,141.666667,45.584,112.5,50.084,104.166667
19.586,683.333333,28.086,220.833333,34.586,337.5,40.586,141.666667,45.586,116.666667,50.086,125
19.588,725,28.088,250,34.588,325,40.588,141.666667,45.588,75,50.088,108.333333
19.59,616.666667,28.09,312.5,34.59,391.666667,40.59,91.666667,45.59,100,50.09,129.166667
19.592,750,28.092,270.833333,34.592,308.333333,40.592,137.5,45.592,125,50.092,129.166667
19.594,775,28.094,304.166667,34.594,316.666667,40.594,175,45.594,108.333333,50.094,129.166667
19.596,687.5,28.096,233.333333,34.596,350,40.596,183.333333,45.596,100,50.096,91.666667
19.598,608.333333,28.098,304.166667,34.598,379.166667,40.598,162.5,45.598,91.666667,50.098,125
19.6,779.166667,28.1,295.833333,34.6,283.333333,40.6,137.5,45.6,66.666667,50.1,116.666667
19.602,762.5,28.102,275,34.602,345.833333,40.602,141.666667,45.602,104.166667,50.102,83.333333
19.604,683.333333,28.104,270.833333,34.604,325,40.604,204.166667,45.604,133.333333,50.104,95.833333
19.606,633.333333,28.106,275,34.606,358.333333,40.606,116.666667,45.606,91.666667,50.106,91.666667
19.608,804.166667,28.108,275,34.608,341.666667,40.608,154.166667,45.608,91.666667,50.108,108.333333
19.61,770.833333,28.11,287.5,34.61,283.333333,40.61,154.166667,45.61,58.333333,50.11,137.5
19.612,670.833333,28.112,233.333333,34.612,350,40.612,129.166667,45.612,79.166667,50.112,125
19.614,641.666667,28.114,216.666667,34.614,312.5,40.614,204.166667,45.614,104.166667,50.114,112.5
19.616,716.666667,28.116,200,34.616,337.5,40.616,204.166667,45.616,91.666667,50.116,100
19.618,850,28.118,287.5,34.618,304.166667,40.618,170.833333,45.618,104.166667,50.118,137.5
19.62,775,28.12,250,34.62,433.333333,40.62,175,45.62,83.333333,50.12,79.166667
19.622,779.166667,28.122,275,34.622,416.666667,40.622,200,45.622,112.5,50.122,91.666667
19.624,716.666667,28.124,241.666667,34.624,354.166667,40.624,225,45.624,87.5,50.124,87.5
19.626,866.666667,28.126,300,34.626,350,40.626,137.5,45.626,79.166667,50.126,137.5
19.628,745.833333,28.128,250,34.628,358.333333,40.628,133.333333,45.628,75,50.128,129.166667
19.63,758.333333,28.13,312.5,34.63,350,40.63,112.5,45.63,108.333333,50.13,79.166667
