noise,a_ka1,b_ka2,c_ka2,2theta,FWHM,thetas,intensity
,,,,,,19.465999999999998,1.979584976037854e-51
,,,,,,19.468,4.1264203368160865e-51
,,,,,,19.47,8.58326308629011e-51
,,,,,,19.472,1.7816033739781828e-50
,,,,,,19.474,3.6901946228226088e-50
,,,,,,19.476,7.627235569501638e-50
,,,,,,19.477999999999998,1.5731302822812546e-49
,,,,,,19.48,3.2377392155046603e-49
,,,,,,19.482,6.649648403043579e-49
,,,,,,19.484,1.3628094712329111e-48
,,,,,,19.486,2.7870916267527744e-48
,,,,,,19.488,5.687835047737212e-48
,,,,,,19.49,1.1583035368106865e-47
,,,,,,19.492,2.3538425807896594e-47
,,,,,,19.494,4.773227020743264e-47
,,,,,,19.496,9.65887196009138e-47
,,,,,,19.498,1.95038510052228e-46
,,,,,,19.5,3.930012893724205e-46
,,,,,,19.502,7.902185546640883e-46
,,,,,,19.504,1.5855506265011066e-45
,,,,,,19.506,3.174626573945045e-45
,,,,,,19.508,6.342855593960615e-45
,,,,,,19.51,1.2646100935524087e-44
,,,,,,19.512,2.515985342301467e-44
,,,,,,19.514,4.995042784822091e-44
,,,,,,19.516,9.895778399746606e-44
,,,,,,19.518,1.956322065136462e-43
,,,,,,19.52,3.859316429165784e-43
,,,,,,19.522000000000002,7.597313823511625e-43
,,,,,,19.524,1.492414250376515e-42
,,,,,,19.526,2.9254882040383935e-42
,,,,,,19.528,5.722515245975481e-42
,,,,,,19.53,1.1170052350351632e-41
,,,,,,19.532,2.1757204895284778e-41
,,,,,,19.534000000000002,4.2289313765272197e-41
,,,,,,19.535999999999998,8.202340935633474e-41
,,,,,,19.538,1.5875398633861304e-40
,,,,,,19.54,3.0661338134441313e-40
,,,,,,19.542,5.909315978920047e-40
,,,,,,19.544,1.1364830536407992e-39
,,,,,,19.546,2.1810637446140474e-39
,,,,,,19.548,4.176893442445468e-39
,,,,,,19.55,7.982116764688349e-39
,,,,,,19.552,1.5221673420326388e-38
,,,,,,19.554000000000002,2.8965855943616194e-38
,,,,,,19.555999999999997,5.500345573203577e-38
,,,,,,19.558,1.0422531793144748e-37
,,,,,,19.56,1.9707708239641047e-37
,,,,,,19.562,3.7185931318843365e-37
,,,,,,19.564,7.001657208766595e-37
,,,,,,19.566,1.3155357941451873e-36
,,,,,,19.567999999999998,2.466517135459399e-36
,,,,,,19.57,4.614718858326807e-36
,,,,,,19.572,8.615609402097222e-36
,,,,,,19.574,1.605115905752866e-35
,,,,,,19.576,2.984052352961908e-35
,,,,,,19.578,5.535873036322285e-35
,,,,,,19.58,1.0248149377483054e-34
,,,,,,19.582,1.8931473420423944e-34
,,,,,,19.584,3.48982000651706e-34
,,,,,,19.586,6.419501180907358e-34
,,,,,,19.588,1.1783632271853083e-33
,,,,,,19.59,2.158423805582509e-33
,,,,,,19.592,3.945244348526332e-33
,,,,,,19.594,7.195993022300513e-33
,,,,,,19.596,1.309746370877132e-32
,,,,,,19.598,2.3788295077417077e-32
,,,,,,19.6,4.31140750372805e-32
,,,,,,19.602,7.797483645671741e-32
,,,,,,19.604,1.4072443539130495e-31
,,,,,,19.605999999999998,2.5343360437792197e-31
,,,,,,19.608,4.554477161472471e-31
,,,,,,19.61,8.167563131675338e-31
,,,,,,19.612000000000002,1.4615918562315015e-30
