111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.89,0.5148822003747773,21.86,1.46983035677816,31.45,6.084923487637456,37.39,4.726685521651387,50.39,4.863147850561922,52.15,50.840205326738975
18.9,0.5287164096705577,21.87,1.504493084374484,31.46,6.219265113083021,37.4,4.851714452121726,50.4,5.058656985405647,52.16,56.71277794008337
18.91,0.5431154687014829,21.88,1.5403954257769568,31.47,6.35810200226783,37.41,4.981763456418719,50.41,5.266153882625064,52.17,63.6215349995835
18.92,0.5581105348976054,21.89,1.5775971438411711,31.48,6.501636820211158,37.42,5.11710452438244,50.42,5.486635194782788,52.18,71.81232967387713
18.93,0.5737349428161038,21.9,1.6161616432110968,31.49,6.650083774318594,37.43,5.258028290695679,50.43,5.721202918675671,52.19,81.60319869702077
18.94,0.5900243891722239,21.91,1.6561562396300236,31.5,6.803669411679487,37.44,5.40484558744298,50.44,5.971077986376254,52.2,93.40855870356769
18.95,0.6070171364689272,21.92,1.6976524527509111,31.51,6.9626334813110375,37.45,5.557889149366821,50.45,6.237615937218335,52.21,107.77148971575565
18.96,0.6247542373917203,21.93,1.740726324816894,31.52,7.12722986746261,37.46,5.717515489200062,50.46,6.522325041138428,52.22,125.40559462915587
18.97,0.6432797824226949,21.94,1.7854587678543614,31.53,7.297727600746492,37.47,5.8841069627069365,50.47,6.826887319235565,52.23,147.24593014432102
18.98,0.6626411734591757,21.95,1.8319359423282235,31.54,7.474411954594069,37.48,6.058074045643673,50.48,7.1531830002227625,52.24,174.50204921724583
18.99,0.6828894266032762,21.96,1.8802496705569205,31.55,7.657585635360702,37.49,6.23985784781738,50.49,7.503319066104805,52.25,208.6888200990929
19.0,0.7040795077292623,21.97,1.9304978885772568,31.56,7.847570075322731,37.5,6.429932892827591,50.5,7.879662682651227,52.26,251.56887100445599
19.01,0.7262707049443482,21.98,1.9827851405963282,31.57,8.044706838852477,37.51,6.628810196007009,50.51,8.284880487489163,52.27,304.8515651391238
19.02,0.7495270426491931,21.99,2.0372231206735982,31.58,8.249359153222864,37.52,6.837040677609976,50.52,8.72198493053096,52.28,369.34242858875365
19.03,0.7739177425898758,22.0,2.0939312668540118,31.59,8.46191357681698,37.53,7.055218953549648,50.53,9.194389140588235,52.29,443.11639070141126
19.04,0.7995177380915983,22.01,2.153037413629181,31.6,8.682781819003711,37.54,7.283987552072487,50.54,9.705972144901072,52.3,518.6798533867769
19.05,0.8264082485966658,22.02,2.214678509355144,31.61,8.912402727630338,37.55,7.524041611827417,50.55,10.261156716717043,52.31,580.990374525149
19.06,0.854677422719208,22.03,2.2790014061128216,31.62,9.1512444619905,37.56,7.776134125031088,50.56,10.865002698951562,52.32,611.0880134584844
19.07,0.8844210593086025,22.04,2.3461637304805225,31.63,9.399806871292636,37.57,8.041081799043415,50.57,11.523319387944369,52.33,597.4960393660839
19.08,0.9157434175168768,22.05,2.4163348448174453,31.64,9.658624101120084,37.58,8.31977162092697,50.58,12.242801512351313,52.34,545.5905736840068
19.09,0.9487581286391384,22.06,2.4896969099539503,31.65,9.92826745317286,37.59,8.613168222758656,50.59,13.031194578424596,52.35,473.0144211551204
19.1,0.9835892245917752,22.07,2.56644606168168,31.66,10.20934852678378,37.6,8.922322160992096,50.6,13.897496969918699,52.36,397.2472504816568
19.11,1.020372300379198,22.08,2.6467937151621497,31.67,10.502522674347784,37.61,9.248379241474478,50.61,14.8522083194419,52.37,328.6720380671263
19.12,1.0592558308549516,22.09,2.730968013372399,31.68,10.808492806987289,37.62,9.592591043356332,50.62,15.907636488704243,52.38,271.01970489394273
19.13,1.1004026656078532,22.1,2.819215438021505,31.69,11.128013591563803,37.63,9.956326820794796,50.63,17.0782792583724,52.39,224.26604018464585
19.14,1.1439917300216345,22.11,2.911802604065588,31.7,11.461896085647647,37.64,10.341086991846067,50.64,18.381301884167357,52.4,186.9085378998
19.15,1.1902199656179528,22.12,3.0090182620835333,31.71,11.811012863392786,37.65,10.74851846032002,50.65,19.83713851696165,52.41,157.14794918971418
19.16,1.2393045488902976,22.13,3.111175536435573,31.72,12.176303692557752,37.66,11.180432059860737,50.66,21.470254807808317,52.42,133.35735178293066
19.17,1.2914854352038163,22.14,3.2186144314108263,31.73,12.558781831354349,37.67,11.638822461720393,50.67,23.310121816054913,52.43,114.20912881821613
19.18,1.3470282832746918,22.15,3.3317046425915327,31.74,12.959541023563256,37.68,12.125890950513778,50.68,25.392469028071343,52.44,98.66715409804279
19.19,1.4062278266242492,22.16,3.4508487165713797,31.75,13.379763281692036,37.69,12.644071548134567,50.69,27.760908910044627,52.45,85.93795607396544
19.2,1.4694117717041948,22.17,3.5764856091282704,31.76,13.820727561117055,37.7,13.196061057979147,50.7,30.469059881009326,52.46,75.41752297885874
19.21,1.5369453187147852,22.18,3.7090947001883263,31.77,14.283819443511057,37.71,13.784853713514988,50.71,33.58334308200908,52.47,66.64563649406028
